smiles,Formula,Mass,Ro,HOFs,Td,D(km/s),P(GPa),Q(J/g),V(L/kg),T(K),ID
O=[N+]([O-])c1n[nH]c2nnc3[nH]nc([N+](=O)[O-])n1-n23,C4H2N10O4,254.1,1.927,700.1,319,8.76,36.1,6032,661,3988,HR_1
Nn1nc([N+](=O)[O-])n2c([N+](=O)[O-])n[nH]c3nnc1n3-2,C4H3N11O4,269.1,1.899,725.9,316,8.68,35.2,5876,686,4035,HR_2
Nn1nc([N+](=O)[O-])n2c([N+](=O)[O-])nn(N)c3nnc1n3-2,C4H4N12O4,284.2,1.868,790.8,315,8.64,34.5,5874,709,4167,HR_3
O=[N+]([O-])c1nc2c3c([N+](=O)[O-])n[nH]c3nnn2c1[N+](=O)[O-],C6HN9O6,295.1,1.919,651.5,302,8.54,34.2,6286,588,3697,HR_4
Nc1nn([N+](=O)[O-])c2nnc3n(N)nc([N+](=O)[O-])n1-n32,C4H4N12O4,284.2,1.873,792.5,299,8.66,34.7,5880,709,4172,HR_5
Nc1c2c([N+](=O)[O-])nn([N+](=O)[O-])c2nc2c1c([N+](=O)[O-])nn2[N+](=O)[O-],C7H2N10O8,354.2,1.919,512.7,298,8.52,34.1,6023,600,3619,HR_6
Nc1nn([N+](=O)[O-])c2nnc3n([N+](=O)[O-])nc(N)n1-n23,C4H4N12O4,284.2,1.896,756,297,8.69,35.2,5752,709,4081,HR_7
Nc1nn([N+](=O)[O-])c2nnc3[nH]nc([N+](=O)[O-])n1-n32,C4H3N11O4,269.1,1.91,697.9,294,8.68,35.3,5772,686,3963,HR_8
O=[N+]([O-])c1nnc2n1c1nnc([N+](=O)[O-])n1c1nnc([N+](=O)[O-])n21,C6N12O6,336.1,1.923,915.9,292,8.63,35,6238,599,3741,HR_9
Nn1nc([N+](=O)[O-])n2cnn([N+](=O)[O-])c3nnc1n3-2,C4H3N11O4,269.1,1.841,788.3,292,8.58,33.7,6108,686,4194,HR_10
O=[N+]([O-])c1nn([N+](=O)[O-])c2nc3c(cc12)c([N+](=O)[O-])nn3[N+](=O)[O-],C7HN9O8,339.1,1.909,543.3,290,8.52,33.9,6312,577,3648,HR_11
O=[N+]([O-])c1n[nH]c2nc3c(c([N+](=O)[O-])nn3[N+](=O)[O-])c([N+](=O)[O-])c12,C7HN9O8,339.1,1.93,522.8,285,8.56,34.5,6252,577,3613,HR_12
O=[N+]([O-])c1nnnc2[nH]nc([N+](=O)[O-])c12,C4HN7O4,211.1,1.887,595.7,283,8.65,34.7,6659,610,4063,HR_13
Nc1nn(N)c2nnc3n([N+](=O)[O-])nc([N+](=O)[O-])n1-n23,C4H4N12O4,284.2,1.86,751.2,282,8.56,33.8,5735,709,4069,HR_14
Nn1ncn2c([N+](=O)[O-])nn([N+](=O)[O-])c3nnc1n3-2,C4H3N11O4,269.1,1.849,748.6,281,8.55,33.6,5961,686,4093,HR_15
O=[N+]([O-])c1n[nH]c2nnc3n([N+](=O)[O-])ncn1-n23,C4H2N10O4,254.1,1.872,679.1,280,8.55,33.8,5950,661,3933,HR_16
